chr	coord	gene_name	refseqID	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
chr1	44819945	PTCH2	ENST00000447098.6	2.88047337278106	4196	4185	4184	744	743	-101	11	3440	844
chr1	44819952	PTCH2	ENST00000447098.6	2.87218934911243	4189	4178	4177	737	736	-108	11	3440	844
chr1	44819987	PTCH2	ENST00000447098.6	2.83076923076923	4154	4143	4142	702	701	-143	11	3440	844
chr1	74569644	ERICH3	ENST00000326665.10	2.34860813704497	5679	5407	5406	814	813	-1521	272	4592	2334
chr11	62841719	WDR74	ENST00000525239.5	0.169144981412639	90	-447	-448	-1605	-1606	-1645	537	1157	39
chr11	62841721	WDR74	ENST00000525239.5	0.16542750929368	88	-449	-450	-1607	-1608	-1647	537	1157	39
chr11	62841752	WDR74	ENST00000525239.5	0.107806691449814	57	-480	-481	-1638	-1639	-1678	537	1157	39
chr11	62841763	WDR74	ENST00000525239.5	0.087360594795539	46	-491	-492	-1649	-1650	-1689	537	1157	39
chr11	62841766	WDR74	ENST00000525239.5	0.0817843866171004	43	-494	-495	-1652	-1653	-1692	537	1157	39
chr14	104176691	KIF26A	ENST00000315264.7	1.66628440366972	3863	3486	3485	-1746	-1747	-2850	377	5231	1103
chr16	1962248	RPS2	ENST00000530225.5	1.96296296296296	577	572	571	-22	-23	-187	5	593	164
chr16	1962248	RPS2	ENST00000529806.5	2.03977272727273	823	637	636	7	6	-169	186	629	175
chr16	1962248	RPS2	ENST00000526522.5	1.78813559322034	735	558	557	-150	-151	-188	177	707	37
chr16	1962248	RPS2	ENST00000343262.9	1.82993197278912	754	732	731	-150	-151	-190	22	881	39
chr17	8173481	TMEM107	ENST00000449985.6	2.75960591133005	965	879	878	771	770	-244	86	107	1014
chr17	8173481	TMEM107	ENST00000437139.7	2.4135166093929	1238	1145	1144	722	721	-1024	93	422	1745
chr17	8173568	TMEM107	ENST00000437139.7	2.36368843069874	1151	1058	1057	635	634	-1111	93	422	1745
chr17	8173568	TMEM107	ENST00000449985.6	2.67389162561576	878	792	791	684	683	-331	86	107	1014
chr17	8226253	CTC1	ENST00000651323.1	2.57265973254086	5600	5581	5580	1927	1926	-1438	19	3653	3364
chr17	8226628	CTC1	ENST00000651323.1	2.46121842496285	5225	5206	5205	1552	1551	-1813	19	3653	3364
chr17	8226653	CTC1	ENST00000651323.1	2.45378900445765	5200	5181	5180	1527	1526	-1838	19	3653	3364
chr17	8227009	CTC1	ENST00000449476.7	2.92085056113408	4660	4655	4654	1559	1558	-134	5	3095	1692
chr17	8227009	CTC1	ENST00000651323.1	2.3479940564636	4844	4825	4824	1171	1170	-2194	19	3653	3364
chr17	8227009	CTC1	ENST00000643543.1	2.97622996130459	4772	4765	4764	3532	3531	-86	7	1232	3617
chr17	8227037	CTC1	ENST00000449476.7	2.90431187241583	4632	4627	4626	1531	1530	-162	5	3095	1692
chr17	8227037	CTC1	ENST00000651323.1	2.33967310549777	4816	4797	4796	1143	1142	-2222	19	3653	3364
chr17	8227037	CTC1	ENST00000643543.1	2.96849087893864	4744	4737	4736	3504	3503	-114	7	1232	3617
chr17	22524496	MTRNR2L1	ENST00000540040.2	2.6831119544592	1385	435	434	360	359	-167	950	74	526
chr19	1383591	NDUFS7	ENST00000546283.5	0.215946843853821	64	-236	-237	-857	-858	-995	300	620	137
chr19	49489992	RPL13A	ENST00000484279.5	2.02694136291601	179	158	157	17	16	-614	21	140	630
chr3	12840365	RPL32	ENST00000396953.6	0.901702786377709	1164	-127	-128	-535	-536	-569	1291	407	33
chr3	96617923	MTRNR2L12	ENST00000600213.3	0.326064382139149	313	-649	-650	-724	-725	-735	962	74	10
chr6	26285156	HIST1H4H	ENST00000634956.1	2.01869158878505	482	344	343	32	31	-1680	138	311	1711
chr6	26285156	HIST1H4H	ENST00000377727.1	2.42666666666667	353	344	343	32	31	-43	9	311	74
chr6	26285156	HIST1H4H	ENST00000634560.1	2.04657933042213	378	344	343	32	31	-655	34	311	686
chr6	26285156	HIST1H4H	ENST00000635491.1	2.04657933042213	378	344	343	32	31	-655	34	311	686
chr6	30609943	PPP1R10	ENST00000376511.7	1.00070846617074	553	2	1	-2821	-2822	-3957	551	2822	1135
chr7	142667667	MTRNR2L6	ENST00000604952.1	2.87651331719128	1395	437	436	362	361	-51	958	74	412
chrX	48835511	PCSK1N	ENST00000218230.6	1.02809706257982	99	22	21	-761	-762	-925	77	782	163
