"","chrom.x","chromStart.x","chromEnd.x","rRNA_anno","score","strand.x","rRNA_uniq_id","chrom.y","chromStart.y","chromEnd.y","name","foldChange","strand.y","geneName","geneStart","geneEnd","base","treatPval","ctrlPval","minusPval","treatStopNum","treatStopRPM","treatPreStopNum","treatAfterStopNum","treatReadthroughNum","ctrlStopNum","ctrlStopRPM","ctrlPreStopNum","ctrlAfterStopNum","ctrlReadthroughNum","stopRpmFC","treatPreRpmFold","ctrlPreRpmFold","preRpmFoldRatio","treatAfterRpmFold","ctrlAfterRpmFold","afterRpmFoldRatio","treatStopRatio","ctrlStopRatio","stopRatioFC","treatStopMeanNum","treatStopMeanFold","ctrlStopMeanNum","ctrlStopMeanFold","treatStopMeanFoldRatio","extendSeq","class"
"1","chr21",8439875,8439876,"5SU55-U72",255,"+","chr21_8439875_8439876_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","chr21",8256833,8256834,"5SU55-U72",255,"+","chr21_8256833_8256834_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chr21",8395659,8395660,"5SU55-U72",255,"+","chr21_8395659_8395660_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","chr21",8395673,8395674,"5SU69-U69",255,"+","chr21_8395673_8395674_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","chr21",8439889,8439890,"5SU69-U69",255,"+","chr21_8439889_8439890_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","chr21",8256847,8256848,"5SU69-U69",255,"+","chr21_8256847_8256848_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","chr21",8988204,8988205,"SSU34-ACA50/ACA62",255,"+","chr21_8988204_8988205_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","chr21",8436908,8436909,"SSU34-ACA50/ACA62",255,"+","chr21_8436908_8436909_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","chr21",8253874,8253875,"SSU34-ACA50/ACA62",255,"+","chr21_8253874_8253875_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","chr21",8392698,8392699,"SSU34-ACA50/ACA62",255,"+","chr21_8392698_8392699_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","chr21",8436910,8436911,"SSU36-U69/ACA55",255,"+","chr21_8436910_8436911_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","chr21",8253876,8253877,"SSU36-U69/ACA55",255,"+","chr21_8253876_8253877_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","chr21",8392700,8392701,"SSU36-U69/ACA55",255,"+","chr21_8392700_8392701_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","chr21",8988206,8988207,"SSU36-U69/ACA55",255,"+","chr21_8988206_8988207_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","chr21",8392757,8392758,"SSU93-U23",255,"+","chr21_8392757_8392758_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","chr21",8988263,8988264,"SSU93-U23",255,"+","chr21_8988263_8988264_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","chr22",11629637,11629638,"SSU93-U23",255,"+","chr22_11629637_11629638_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","chr16",34160121,34160122,"SSU93-U23",255,"+","chr16_34160121_34160122_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","chr21",8436967,8436968,"SSU93-U23",255,"+","chr21_8436967_8436968_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","chr21",8392769,8392770,"SSU105-ACA36/B/ACA50/ACA62",255,"+","chr21_8392769_8392770_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","chr21",8988275,8988276,"SSU105-ACA36/B/ACA50/ACA62",255,"+","chr21_8988275_8988276_+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
